id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:2359209a-5f704af8 CCM Heat Pump Plant CCM_DHW_SWT,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL39,✓,CCM_DHW_SWT,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dccabe-25e6a02f CCM Heat Pump Plant,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:09:02-07:00 Los_Angeles,"","",68767,2018-10-14T11:11:23-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:13:12.153-07:00 Los_Angeles,2019-01-31T10:24:20.877-08:00 Los_Angeles,"",✓,"","","","","",Leaving Hot Water Temp,"",AI2106,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:241405e5-786bad4c .+_DHW_SWT(_TL)?,"","",✓,"","",CCM_DHW_SWT_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:23.503Z UTC
@p:ubcv:r:22b58600-3dda4a6a CCM Heat Pump Plant HP-4 CCM_HP_4_STG1_ENAB,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL89,✓,CCM_HP_4_STG1_ENAB,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","",✓,"","","OFF,ON","",@p:ubcv:r:23dccabf-59770f89 CCM Heat Pump Plant HP-4,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T12:46:43-07:00 Los_Angeles,"",cov,4985,2017-09-07T22:21:28-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:04.586-07:00 Los_Angeles,2019-01-31T10:24:20.706-08:00 Los_Angeles,"","","","","","","",Stage 1 Enable Cmd,"",BV107,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-3b614954 .+_HP_\d_STG1_ENAB(_TL)?,"","","","","",CCM_WSHP_W_4_STG1_ENAB_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.422Z UTC
@p:ubcv:r:235920e8-3f87d59e CCM LEF-06 EF-06A CCM_EF_6_STROBIC_ALL_FAIL***delete for single fans,"","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL10,✓,CCM_EF_6_STROBIC_ALL_FAIL***delete for single fans,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-aa40a444 CCM LEF-06 EF-06A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-03-02T09:05:25-08:00 Los_Angeles,"",cov,1,2020-03-02T09:05:25-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:15:35.388-07:00 Los_Angeles,2018-11-28T16:32:33.62-08:00 Los_Angeles,"","","","","","","",CCM_EF_6_STROBIC_ALL_FAIL***delete for single fans,✓,BV59,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_6_STROBIC_ALL_FAIL***delete for single fans_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:28.028Z UTC
@p:ubcv:r:23592190-e8ffdf9b CCM LEF-06 EF-06B CCM_EF_06_STROBIC_B_EFC,"",✓,"","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"",TL8,✓,CCM_EF_06_STROBIC_B_EFC,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-0e779642 CCM 057.0 CCM EF INTERFACE (581000),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-0f19de6a CCM LEF-06 EF-06B,✓,✓,✓,"","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-05T10:01:11-07:00 Los_Angeles,"",cov,104,2018-10-16T10:03:00-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.02-07:00 Los_Angeles,2019-01-31T10:24:21.003-08:00 Los_Angeles,"","","","","","","",Exhaust Fan Run Cmd,"",BO7,"","","","","","",✓,"","","","","","","","",✓,"","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:245cddb1-fc491e66 .+_EFC(_\d+)?(_TL)?,"","","","","",CCM_EF_06_STROBIC_B_EFC_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.631Z UTC
@p:ubcv:r:2359209a-dcbf4f62 CCM Heat Pump Plant CCM_COND_BLR_FAIL_DETECT_BV,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL27,✓,CCM_COND_BLR_FAIL_DETECT_BV,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dccabe-25e6a02f CCM Heat Pump Plant,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2019-10-28T12:02:47-07:00 Los_Angeles,"","",2,2019-10-28T12:02:45-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:13:04.43-07:00 Los_Angeles,2018-11-28T16:32:56.728-08:00 Los_Angeles,"","","","","","","",CCM_COND_BLR_FAIL_DETECT_BV,✓,BV6,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_COND_BLR_FAIL_DETECT_BV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.203Z UTC
@p:ubcv:r:22d5eee2-ea587f97 CCM Heat Pump Plant HP-1 CCM_HP1_PUMPS_RUNNING,"","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"",TL23,✓,CCM_HP1_PUMPS_RUNNING,"","","","","","","","","","","","","","",@p:ubcv:r:226ce633-67758708 CCM 057.0 CCM MECH MEZZ RM 1147A (580200),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dccabf-77d01026 CCM Heat Pump Plant HP-1,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T11:59:02-07:00 Los_Angeles,"",cov,5248,2018-06-20T17:56:26-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:16.281-07:00 Los_Angeles,2018-11-28T16:32:50.668-08:00 Los_Angeles,"","","","","","","",CCM_HP1_PUMPS_RUNNING,✓,BV35,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_HP1_PUMPS_RUNNING_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.632Z UTC
@p:ubcv:r:235921ef-fe78092d CCM AHU-06 AHU-06A CCM_AHU_06A_HUMV,"","","","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"",TL107,✓,CCM_AHU_06A_HUMV,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-43a9f40b CCM 057.0 CCM AHU6AB (580500),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-a7727642 CCM AHU-06 AHU-06A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-05T10:00:06-07:00 Los_Angeles,"",cov,179441,2018-10-15T06:26:44-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:17:18.688-07:00 Los_Angeles,2019-01-31T10:24:21.578-08:00 Los_Angeles,"","","","","","","","Humidifier Valve ","",AO7,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2410474d-d4701ece .+_HUMV(_\d+)?(_TL)?,"","","","","",CCM_AHU_06A_HUMV_COV_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:22.932Z UTC
@p:ubcv:r:235920e8-f4de6040 CCM LEF-06 EF-06A CCM_EF_6_STROBIC_A_AMPS_MUXIN,"","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL31,✓,CCM_EF_6_STROBIC_A_AMPS_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e5f361-aa40a444 CCM LEF-06 EF-06A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:11:33-07:00 Los_Angeles,"","",82482,2018-10-15T06:05:53-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:15:38.895-07:00 Los_Angeles,2018-11-28T16:32:54.146-08:00 Los_Angeles,"","","","","","","",CCM_EF_6_STROBIC_A_AMPS_MUXIN,✓,AV60,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_6_STROBIC_A_AMPS_MUXIN_POLL_TL,Los_Angeles,A,"","","","","","",2020-04-09T19:02:22.973Z UTC
@p:ubcv:r:22b585ff-2a238a72 CCM Steam Boilers SB-01 CCM_B1_FSG,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL203,✓,CCM_B1_FSG,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","NORMAL,ALARM","",@p:ubcv:r:23e39d36-934b1d22 CCM Steam Boilers SB-01,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-04-07T07:12:32-07:00 Los_Angeles,"","",692,2017-06-14T07:34:27-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:04.003-07:00 Los_Angeles,2018-11-28T16:32:51.498-08:00 Los_Angeles,"","","","","","","",CCM_B1_FSG,✓,BV216,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B1_FSG_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:25.634Z UTC
@p:ubcv:r:22b585ff-81622ac8 CCM Unsorted Points CCM_B1_FILL,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL137,✓,CCM_B1_FILL,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",93851,2018-06-12T11:50:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:21:04.827-07:00 Los_Angeles,2018-11-28T16:32:37.182-08:00 Los_Angeles,"","","","","","","",CCM_B1_FILL,✓,AV27,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",B1 FILL RATE,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.271Z UTC
@p:ubcv:r:235920e8-17f9d733 CCM LEF-06 CCM_EF_6_STROBIC_TOGGLE_LEAD_NOW,"","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL17,✓,CCM_EF_6_STROBIC_TOGGLE_LEAD_NOW,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23dcaa18-2040d088 CCM LEF-06,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-03-02T09:05:25-08:00 Los_Angeles,"",cov,1,2020-03-02T09:05:25-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:15:35.532-07:00 Los_Angeles,2018-11-28T16:32:44.341-08:00 Los_Angeles,"","","","","","","",CCM_EF_6_STROBIC_TOGGLE_LEAD_NOW,✓,BV1,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_6_STROBIC_TOGGLE_LEAD_NOW_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.427Z UTC
@p:ubcv:r:235920e8-19fd6836 CCM LEF-06 CCM_EF_6_STROBIC_LEAD_TOGGLE_DAY,"","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL18,✓,CCM_EF_6_STROBIC_LEAD_TOGGLE_DAY,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","",@p:ubcv:r:23dcaa18-2040d088 CCM LEF-06,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","-1 enumNumberToStr(self, false)",2020-03-02T09:05:25-08:00 Los_Angeles,"",cov,1,2020-03-02T09:05:25-08:00 Los_Angeles,ok,"","","","",Str,2020-05-12T14:15:35.616-07:00 Los_Angeles,2018-11-28T16:32:55.159-08:00 Los_Angeles,"","","","","","","",CCM_EF_6_STROBIC_LEAD_TOGGLE_DAY,✓,MSV9,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_EF_6_STROBIC_LEAD_TOGGLE_DAY_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.208Z UTC
@p:ubcv:r:22b585ff-a7c67d31 CCM Steam Boilers SB-01 CCM_B1_SWL,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL201,✓,CCM_B1_SWL,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","NORMAL,ALARM","",@p:ubcv:r:23e39d36-934b1d22 CCM Steam Boilers SB-01,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-03-14T07:09:04-07:00 Los_Angeles,"","",132,2017-08-25T08:20:28-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.967-07:00 Los_Angeles,2018-11-28T16:33:02.488-08:00 Los_Angeles,"","","","","","","",CCM_B1_SWL,✓,BV214,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B1_SWL_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.21Z UTC
@p:ubcv:r:2307151f-6f7b8456 CCM AHU-05 AHU-05A P39 AHU_05A_P39_A,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL38,✓,AHU_05A_P39_A,"","","",✓,✓,"","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","",P39,@p:ubcv:r:23e5f576-6bafbf5c CCM AHU-05 AHU-05A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:10:16-07:00 Los_Angeles,"","",91565,2018-08-14T00:22:35-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:26.987-07:00 Los_Angeles,2018-11-28T16:32:38.012-08:00 Los_Angeles,"","","","","","","","Run ","",AI1,"","","","","","",✓,"","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:240c81ef-4f03ee33 .+_P_?\d+[A-Z]?_P?A(_TL)?,"","","","","",AHU_05A_P39_A_POLL_TL,Los_Angeles,A,"","","","",✓,"",2020-05-12T11:03:27.239Z UTC
@p:ubcv:r:2359209a-f3f454dd CCM Unsorted Points CCM_BLR_P_DHW4_DP,"","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"",TL36,✓,CCM_BLR_P_DHW4_DP,✓,"","","","","","","","","","","","","",@p:ubcv:r:2304b905-4af24d6a CCM 057.0 CCM_BLR_PNL CP581100 (581100),"","","","","","","","",✓,✓,$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-01-15T22:53:57-08:00 Los_Angeles,"","",12,2018-12-03T07:06:27-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:04.474-07:00 Los_Angeles,2018-11-28T16:32:46.752-08:00 Los_Angeles,"","","","","","","",Boiler Pump Differential Pressure,"",AI2102,"","","","","","",✓,"","",✓,✓,"","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:24140908-84201fd9 .+_BLR_.+_DP(_TL)?,"","","","","",CCM_BLR_P_DHW4_DP_TL,Los_Angeles,kPa,"","","","","","",2020-04-09T19:02:23.511Z UTC
@p:ubcv:r:22b585ff-2e4384dd CCM Heat Pump Plant CCM_HWST_MIN_SP,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL127,✓,CCM_HWST_MIN_SP,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dccabe-25e6a02f CCM Heat Pump Plant,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:16:02-07:00 Los_Angeles,"","",93847,2018-06-12T11:55:12-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:21:04.303-07:00 Los_Angeles,2019-01-31T10:24:21.288-08:00 Los_Angeles,"",✓,"",✓,"","","",Leaving Hot Water Temp Min Sp,"",AV43,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0e-50adc86f .+_HWST_(MIN_SP|SP_MIN)(_TL)?,"","",✓,"","",CCM_HWRT_MIN_SP_POLL_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:22.279Z UTC
@p:ubcv:r:22b585ff-fe4fa229 CCM Unsorted Points CCM_LD_H4S,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL186,✓,CCM_LD_H4S,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2018-02-28T09:23:29-08:00 Los_Angeles,"","",4,2017-06-22T10:05:32-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:03.816-07:00 Los_Angeles,2018-11-28T16:32:56.659-08:00 Los_Angeles,"","","","","","","",CCM_LD_H4S,✓,BV271,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_LD_H4S_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.212Z UTC
@p:ubcv:r:2311f9cd-57940d48 CCM AHU-04 CCM_AHU_04_DUCT_PRESS,"",✓,"","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL83,✓,CCM_AHU_04_DUCT_PRESS,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23e500e0-5d92eeae CCM AHU-04,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:08:53-07:00 Los_Angeles,"","",60595,2018-08-20T13:22:43-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:19.198-07:00 Los_Angeles,2019-01-31T10:24:22.223-08:00 Los_Angeles,"","","","","","","",Discharge Air Static Pressure,"",AI12,"","","","","","",✓,"","",✓,"","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","",✓,@p:ubcv:r:2481aa05-08b0123a .+_DUCT_PRESS(_TL)?,"","","","","",MN_E_AHU_04_DUCT_PRESS_POLL_TL,Los_Angeles,Pa,"","","","","","",2020-04-09T19:02:23.078Z UTC
@p:ubcv:r:235920a5-ba23e716 CCM AHU-05 AHU-05B NW_AHU_05B_SAD,"",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL26,✓,NW_AHU_05B_SAD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","",✓,"","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:23dbc780-e4d64c00 CCM AHU-05 AHU-05B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:09:58-07:00 Los_Angeles,"","",82606,2018-10-15T06:12:16-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:25.379-07:00 Los_Angeles,2019-01-31T10:24:21.305-08:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"",AO102,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-d78921f0 .+_SAD(_\d+)?(_TL)?,"","","","","",NW_AHU_05B_SAD_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.264Z UTC
@p:ubcv:r:226ce5aa-ce482547 CCM Heat Pump Plant HP-1 CCM_HP_1_LOAD_LWT,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL120,✓,CCM_HP_1_LOAD_LWT,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dccabf-77d01026 CCM Heat Pump Plant HP-1,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:16:03-07:00 Los_Angeles,"","",101779,2018-04-18T09:06:13-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:21:04.326-07:00 Los_Angeles,2019-01-31T10:24:21.95-08:00 Los_Angeles,"",✓,"","","","","",Leaving Hot Water Temp,"",AV11,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2415ac1e-ac6b46c7 .+_W?S?HP(_.+)?_LOAD_LWT(_TL)?,"","",✓,"","",CCM_WSHP_1_LOAD_LWT_POLL_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:22.284Z UTC
@p:ubcv:r:235921be-7848c581 CCM LEF-05 NW_EF_5_STROBIC_BYP_01,"",✓,"","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"",TL31,✓,NW_EF_5_STROBIC_BYP_01,"",✓,"","","","","","","","","",✓,"","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"","","","","","",✓,✓,"","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcaa17-454ee9c3 CCM LEF-05,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:11:21-07:00 Los_Angeles,"","",82498,2018-10-15T06:23:27-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:17.714-07:00 Los_Angeles,2019-01-31T10:24:20.813-08:00 Los_Angeles,"","","","","","","",Bypass Air Damper Cmd 01,"",AO2,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-055d195c .+_BYP_0?1(_TL)?,"","","","","",NW_EF_5_STROBIC_BYP_01_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.01Z UTC
